2020-05-24 16:05:56.364 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-05-24 16:05:56.365 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 2459 ms
2020-05-24 16:05:56.687 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:05:56.687 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:05:56.692 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:05:56.692 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:05:57.115 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-05-24 16:05:58.499 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2020-05-24 16:05:58.861 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-10080"]
2020-05-24 16:05:58.916 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 10080 (http) with context path ''
2020-05-24 16:05:59.000 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.alibaba.nacos.registry.NacosServiceRegistry nacos registry, OPEN-PLATFORM360 192.168.199.175:10080 register finished
2020-05-24 16:05:59.004 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications Started ControllerApplications in 7.379 seconds (JVM running for 8.767)
2020-05-24 16:06:21.837 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications The following profiles are active: local
2020-05-24 16:06:22.773 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-24 16:06:22.776 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-05-24 16:06:22.807 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 13ms. Found 0 Redis repository interfaces.
2020-05-24 16:06:23.217 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.context.scope.GenericScope BeanFactory id=f48388a9-a91c-39e8-80f3-e552ac2c5314
2020-05-24 16:06:23.676 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$5eb96d55] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-24 16:06:24.165 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 10080 (http)
2020-05-24 16:06:24.178 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-10080"]
2020-05-24 16:06:24.179 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardService Starting service [Tomcat]
2020-05-24 16:06:24.179 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-05-24 16:06:24.299 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2020-05-24 16:06:24.299 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.web.context.ContextLoader Root WebApplicationContext: initialization completed in 2431 ms
2020-05-24 16:06:24.678 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:06:24.678 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:06:24.683 WARN   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource No URLs will be polled as dynamic configuration sources.
2020-05-24 16:06:24.683 INFO   [OPEN-PLATFORM360,,,] --- [main] com.netflix.config.sources.URLConfigurationSource To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-05-24 16:06:25.149 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2020-05-24 16:06:26.868 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler Initializing ExecutorService
2020-05-24 16:06:27.584 INFO   [OPEN-PLATFORM360,,,] --- [main] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-10080"]
2020-05-24 16:06:27.671 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 10080 (http) with context path ''
2020-05-24 16:06:27.777 INFO   [OPEN-PLATFORM360,,,] --- [main] org.springframework.cloud.alibaba.nacos.registry.NacosServiceRegistry nacos registry, OPEN-PLATFORM360 192.168.199.175:10080 register finished
2020-05-24 16:06:27.782 INFO   [OPEN-PLATFORM360,,,] --- [main] com.taikang.directServicePlatform.controller.ControllerApplications Started ControllerApplications in 8.115 seconds (JVM running for 9.555)
